year,date,dap,plot_id,block,rot_trt,depth,roots_kgha,totroots_kgha,proots
2019,9/16/2019,105,2019_12,b1,4y,0-15cm,318.81313131313135,764.5202020202021,0.4170107349298101
2019,9/16/2019,105,2019_12,b1,4y,15-30cm,229.48232323232324,764.5202020202021,0.30016515276630884
2019,9/16/2019,105,2019_12,b1,4y,30-45cm,78.28282828282828,764.5202020202021,0.1023947151114781
2019,9/16/2019,105,2019_12,b1,4y,45-60cm,137.9419191919192,764.5202020202021,0.18042939719240297
2019,9/16/2019,105,2019_19,b1,2y,0-15cm,638.2575757575758,1109.5328282828282,0.575248933
2019,9/16/2019,105,2019_19,b1,2y,15-30cm,249.05303030303028,1109.5328282828282,0.22446657183499288
2019,9/16/2019,105,2019_19,b1,2y,30-45cm,121.21212121212119,1109.5328282828282,0.1092460881934566
2019,9/16/2019,105,2019_19,b1,2y,45-60cm,101.01010101010102,1109.5328282828282,0.091038407
2019,9/16/2019,105,2019_21,b2,4y,0-15cm,475.69444444444446,1701.388888888889,0.2795918367346939
2019,9/16/2019,105,2019_21,b2,4y,15-30cm,513.5732323232323,1701.388888888889,0.3018552875695733
2019,9/16/2019,105,2019_21,b2,4y,30-45cm,411.3005050505051,1701.388888888889,0.2417439703153989
2019,9/16/2019,105,2019_21,b2,4y,45-60cm,300.8207070707071,1701.388888888889,0.17680890538033397
2019,9/16/2019,105,2019_27,b2,2y,0-15cm,677.3989899,1322.2853535353536,0.512294104
2019,9/16/2019,105,2019_27,b2,2y,15-30cm,379.1035353535354,1322.2853535353536,0.2867032704702793
2019,9/16/2019,105,2019_27,b2,2y,30-45cm,135.7323232323232,1322.2853535353536,0.10264979708761039
2019,9/16/2019,105,2019_27,b2,2y,45-60cm,130.05050505050505,1322.2853535353536,0.098352829
2019,9/16/2019,105,2019_31,b3,4y,0-15cm,299.55808080808083,1604.7979797979797,0.18666404405979548
2019,9/16/2019,105,2019_31,b3,4y,15-30cm,346.90656565656565,1604.7979797979797,0.21616837136113298
2019,9/16/2019,105,2019_31,b3,4y,30-45cm,834.5959595959596,1604.7979797979797,0.5200629425649096
2019,9/16/2019,105,2019_31,b3,4y,45-60cm,123.73737373737373,1604.7979797979797,0.077104642
2019,9/16/2019,105,2019_35,b3,2y,0-15cm,353.21969696969694,860.4797979797979,0.4104915627292737
2019,9/16/2019,105,2019_35,b3,2y,15-30cm,192.86616161616163,860.4797979797979,0.2241379310344828
2019,9/16/2019,105,2019_35,b3,2y,30-45cm,171.40151515151516,860.4797979797979,0.1991929567131328
2019,9/16/2019,105,2019_35,b3,2y,45-60cm,142.99242424242422,860.4797979797979,0.16617754952311078
2019,9/16/2019,105,2019_43,b4,4y,0-15cm,460.2272727272727,1652.1464646464647,0.27856324035154756
2019,9/16/2019,105,2019_43,b4,4y,15-30cm,563.1313131313132,1652.1464646464647,0.3408482995796714
2019,9/16/2019,105,2019_43,b4,4y,30-45cm,119.94949494949495,1652.1464646464647,0.072602216
2019,9/16/2019,105,2019_43,b4,4y,45-60cm,508.8383838383839,1652.1464646464647,0.30798624379059997
2019,9/16/2019,105,2019_45,b4,2y,0-15cm,491.47727272727275,1290.0883838383838,0.3809640322975288
2019,9/16/2019,105,2019_45,b4,2y,15-30cm,380.3661616161616,1290.0883838383838,0.294837289
2019,9/16/2019,105,2019_45,b4,2y,30-45cm,367.10858585858585,1290.0883838383838,0.28456080254465377
2019,9/16/2019,105,2019_45,b4,2y,45-60cm,51.13636363636364,1290.0883838383838,0.039637876
2020,8/18/2020,117,2020_13,b1,2y,0-15cm,332.0707070707071,940.3409090909091,0.3531386371265526
2020,8/18/2020,117,2020_13,b1,2y,15-30cm,370.89646464646466,940.3409090909091,0.3944276602886875
2020,8/18/2020,117,2020_13,b1,2y,30-45cm,118.37121212121211,940.3409090909091,0.12588116817724068
2020,8/18/2020,117,2020_13,b1,2y,45-60cm,119.00252525252525,940.3409090909091,0.1265525344075193
2020,8/18/2020,117,2020_17,b1,4y,0-15cm,263.88888888888886,1033.7752525252524,0.2552671755725191
2020,8/18/2020,117,2020_17,b1,4y,15-30cm,638.5732323232323,1033.7752525252524,0.6177099236641223
2020,8/18/2020,117,2020_17,b1,4y,30-45cm,93.11868686868685,1033.7752525252524,0.090076336
2020,8/18/2020,117,2020_17,b1,4y,45-60cm,38.19444444444444,1033.7752525252524,0.036946564885496185
2020,8/18/2020,117,2020_24,b2,2y,0-15cm,848.4848484848484,1338.699494949495,0.6338127800047159
2020,8/18/2020,117,2020_24,b2,2y,15-30cm,145.83333333333334,1338.699494949495,0.10893657156331055
2020,8/18/2020,117,2020_24,b2,2y,30-45cm,273.98989898989896,1338.699494949495,0.20466871020985614
2020,8/18/2020,117,2020_24,b2,2y,45-60cm,70.39141414141415,1338.699494949495,0.052581938
2020,8/18/2020,117,2020_34,b3,2y,0-15cm,357.32323232323233,734.8484848484849,0.48625429553264604
2020,8/18/2020,117,2020_34,b3,2y,15-30cm,164.14141414141412,734.8484848484849,0.22336769759450167
2020,8/18/2020,117,2020_34,b3,2y,30-45cm,163.8257575757576,734.8484848484849,0.22293814432989692
2020,8/18/2020,117,2020_34,b3,2y,45-60cm,49.558080808080796,734.8484848484849,0.067439863
2020,8/18/2020,117,2020_39,b3,4y,0-15cm,309.65909090909093,570.7070707070708,0.5425884955752213
2020,8/18/2020,117,2020_39,b3,4y,15-30cm,95.01262626262626,570.7070707070708,0.16648230088495572
2020,8/18/2020,117,2020_39,b3,4y,30-45cm,92.17171717171718,570.7070707070708,0.16150442477876104
2020,8/18/2020,117,2020_39,b3,4y,45-60cm,73.86363636363637,570.7070707070708,0.12942477876106195
2020,8/18/2020,117,2020_41,b4,4y,0-15cm,322.2853535353536,792.9292929292931,0.40644904458598724
2020,8/18/2020,117,2020_41,b4,4y,15-30cm,290.71969696969705,792.9292929292931,0.3666401273885351
2020,8/18/2020,117,2020_41,b4,4y,30-45cm,109.21717171717172,792.9292929292931,0.1377388535031847
2020,8/18/2020,117,2020_41,b4,4y,45-60cm,70.70707071,792.9292929292931,0.089171975
2020,8/18/2020,117,2020_44,b4,2y,0-15cm,348.4848484848485,986.4267676767678,0.35328
2020,8/18/2020,117,2020_44,b4,2y,15-30cm,330.4924242424243,986.4267676767678,0.33504
2020,8/18/2020,117,2020_44,b4,2y,30-45cm,178.66161616161617,986.4267676767678,0.18111999999999998
2020,8/18/2020,117,2020_44,b4,2y,45-60cm,128.78787878787878,986.4267676767678,0.13055999999999998
