year,doy,block,plot_id,rot_trt,harv_crop,depth_cm,resis_kpa
2018,130,b1,2018_13,2y,C2,0,27.57904
2018,130,b1,2018_13,2y,C2,2.54,165.47424
2018,130,b1,2018_13,2y,C2,5.08,334.39585999999997
2018,130,b1,2018_13,2y,C2,7.62,430.92249999999996
2018,130,b1,2018_13,2y,C2,10.16,606.73888
2018,130,b1,2018_13,2y,C2,12.7,651.55482
2018,130,b1,2018_13,2y,C2,15.24,734.29194
2018,130,b1,2018_13,2y,C2,17.78,758.4236
2018,130,b1,2018_13,2y,C2,20.32,789.45002
2018,130,b1,2018_13,2y,C2,22.86,796.3447799999999
2018,130,b1,2018_13,2y,C2,25.4,768.7657399999999
2018,130,b1,2018_13,2y,C2,27.94,761.87098
2018,130,b1,2018_13,2y,C2,30.48,758.4236
2018,130,b1,2018_13,2y,C2,33.02,741.1867
2018,130,b1,2018_13,2y,C2,35.56,754.97622
2018,130,b1,2018_13,2y,C2,38.1,751.52884
2018,130,b1,2018_13,2y,C2,40.64,727.3971799999999
2018,130,b1,2018_13,2y,C2,43.18,713.6076599999999
2018,130,b1,2018_13,2y,C2,45.72,710.16028
2018,130,b1,2018_18,4y,C4,0,134.44782
2018,130,b1,2018_18,4y,C4,2.54,313.71157999999997
2018,130,b1,2018_18,4y,C4,5.08,617.08102
2018,130,b1,2018_18,4y,C4,7.62,727.3971799999999
2018,130,b1,2018_18,4y,C4,10.16,720.50242
2018,130,b1,2018_18,4y,C4,12.7,682.58124
2018,130,b1,2018_18,4y,C4,15.24,661.89696
2018,130,b1,2018_18,4y,C4,17.78,655.0022
2018,130,b1,2018_18,4y,C4,20.32,613.63364
2018,130,b1,2018_18,4y,C4,22.86,672.2391
2018,130,b1,2018_18,4y,C4,25.4,703.2655199999999
2018,130,b1,2018_18,4y,C4,27.94,858.39762
2018,130,b1,2018_18,4y,C4,30.48,979.05592
2018,130,b1,2018_18,4y,C4,33.02,1075.5825599999998
2018,130,b1,2018_18,4y,C4,35.56,1106.60898
2018,130,b1,2018_18,4y,C4,38.1,1123.8458799999999
2018,130,b1,2018_18,4y,C4,40.64,1110.05636
2018,130,b1,2018_18,4y,C4,43.18,1147.9775399999999
2018,130,b1,2018_18,4y,C4,45.72,1196.2408599999999
2018,130,b2,2018_24,2y,C2,0,103.42139999999999
2018,130,b2,2018_24,2y,C2,2.54,203.01237777777777
2018,130,b2,2018_24,2y,C2,5.08,589.8850222222222
2018,130,b2,2018_24,2y,C2,7.62,823.5407777777777
2018,130,b2,2018_24,2y,C2,10.16,789.0669777777778
2018,130,b2,2018_24,2y,C2,12.7,838.8624666666666
2018,130,b2,2018_24,2y,C2,15.24,903.9796444444444
2018,130,b2,2018_24,2y,C2,17.78,972.9272444444445
2018,130,b2,2018_24,2y,C2,20.32,976.7576666666666
2018,130,b2,2018_24,2y,C2,22.86,957.6055555555555
2018,130,b2,2018_24,2y,C2,25.4,900.1492222222222
2018,130,b2,2018_24,2y,C2,27.94,946.1142888888888
2018,130,b2,2018_24,2y,C2,30.48,946.1142888888888
2018,130,b2,2018_24,2y,C2,33.02,942.2838666666667
2018,130,b2,2018_24,2y,C2,35.56,903.9796444444444
2018,130,b2,2018_24,2y,C2,38.1,915.470911111111
2018,130,b2,2018_24,2y,C2,40.64,926.9621777777777
2018,130,b2,2018_24,2y,C2,43.18,949.944711111111
2018,130,b2,2018_24,2y,C2,45.72,992.0793555555555
2018,130,b2,2018_28,4y,C4,0,27.57904
2018,130,b2,2018_28,4y,C4,2.54,93.07925999999999
2018,130,b2,2018_28,4y,C4,5.08,306.81682
2018,130,b2,2018_28,4y,C4,7.62,489.52796
2018,130,b2,2018_28,4y,C4,10.16,582.60722
2018,130,b2,2018_28,4y,C4,12.7,586.0545999999999
2018,130,b2,2018_28,4y,C4,15.24,641.21268
2018,130,b2,2018_28,4y,C4,17.78,637.7653
2018,130,b2,2018_28,4y,C4,20.32,586.0545999999999
2018,130,b2,2018_28,4y,C4,22.86,541.23866
2018,130,b2,2018_28,4y,C4,25.4,524.00176
2018,130,b2,2018_28,4y,C4,27.94,682.58124
2018,130,b2,2018_28,4y,C4,30.48,889.42404
2018,130,b2,2018_28,4y,C4,33.02,941.13474
2018,130,b2,2018_28,4y,C4,35.56,927.3452199999999
2018,130,b2,2018_28,4y,C4,38.1,930.7926
2018,130,b2,2018_28,4y,C4,40.64,992.8454399999999
2018,130,b2,2018_28,4y,C4,43.18,1058.34566
2018,130,b2,2018_28,4y,C4,45.72,1065.2404199999999
2018,130,b3,2018_34,2y,C2,0,37.92118
2018,130,b3,2018_34,2y,C2,2.54,79.28974
2018,130,b3,2018_34,2y,C2,5.08,220.63232
2018,130,b3,2018_34,2y,C2,7.62,458.50154
2018,130,b3,2018_34,2y,C2,10.16,637.7653
2018,130,b3,2018_34,2y,C2,12.7,748.08146
2018,130,b3,2018_34,2y,C2,15.24,844.6080999999999
2018,130,b3,2018_34,2y,C2,17.78,906.66094
2018,130,b3,2018_34,2y,C2,20.32,920.45046
2018,130,b3,2018_34,2y,C2,22.86,948.0295
2018,130,b3,2018_34,2y,C2,25.4,879.0818999999999
2018,130,b3,2018_34,2y,C2,27.94,865.29238
2018,130,b3,2018_34,2y,C2,30.48,844.6080999999999
2018,130,b3,2018_34,2y,C2,33.02,851.5028599999999
2018,130,b3,2018_34,2y,C2,35.56,865.29238
2018,130,b3,2018_34,2y,C2,38.1,868.7397599999999
2018,130,b3,2018_34,2y,C2,40.64,885.9766599999999
2018,130,b3,2018_34,2y,C2,43.18,879.0818999999999
2018,130,b3,2018_34,2y,C2,45.72,879.0818999999999
2018,130,b3,2018_37,4y,C4,0,141.34258
2018,130,b3,2018_37,4y,C4,2.54,268.89563999999996
2018,130,b3,2018_37,4y,C4,5.08,658.44958
2018,130,b3,2018_37,4y,C4,7.62,920.45046
2018,130,b3,2018_37,4y,C4,10.16,927.3452199999999
2018,130,b3,2018_37,4y,C4,12.7,899.76618
2018,130,b3,2018_37,4y,C4,15.24,803.23954
2018,130,b3,2018_37,4y,C4,17.78,754.97622
2018,130,b3,2018_37,4y,C4,20.32,734.29194
2018,130,b3,2018_37,4y,C4,22.86,658.44958
2018,130,b3,2018_37,4y,C4,25.4,606.73888
2018,130,b3,2018_37,4y,C4,27.94,741.1867
2018,130,b3,2018_37,4y,C4,30.48,999.7402
2018,130,b3,2018_37,4y,C4,33.02,1144.53016
2018,130,b3,2018_37,4y,C4,35.56,1144.53016
2018,130,b3,2018_37,4y,C4,38.1,1175.55658
2018,130,b3,2018_37,4y,C4,40.64,1216.9251399999998
2018,130,b3,2018_37,4y,C4,43.18,1258.2937
2018,130,b3,2018_37,4y,C4,45.72,1272.08322
2018,130,b4,2018_44,2y,C2,0,89.63188
2018,130,b4,2018_44,2y,C2,2.54,155.13209999999998
2018,130,b4,2018_44,2y,C2,5.08,310.26419999999996
2018,130,b4,2018_44,2y,C2,7.62,520.5543799999999
2018,130,b4,2018_44,2y,C2,10.16,717.05504
2018,130,b4,2018_44,2y,C2,12.7,765.31836
2018,130,b4,2018_44,2y,C2,15.24,810.1342999999999
2018,130,b4,2018_44,2y,C2,17.78,865.29238
2018,130,b4,2018_44,2y,C2,20.32,927.3452199999999
2018,130,b4,2018_44,2y,C2,22.86,910.1083199999999
2018,130,b4,2018_44,2y,C2,25.4,899.76618
2018,130,b4,2018_44,2y,C2,27.94,948.0295
2018,130,b4,2018_44,2y,C2,30.48,892.87142
2018,130,b4,2018_44,2y,C2,33.02,823.92382
2018,130,b4,2018_44,2y,C2,35.56,730.84456
2018,130,b4,2018_44,2y,C2,38.1,730.84456
2018,130,b4,2018_44,2y,C2,40.64,717.05504
2018,130,b4,2018_44,2y,C2,43.18,744.6340799999999
2018,130,b4,2018_44,2y,C2,45.72,761.87098
2018,130,b4,2018_46,4y,C4,0,24.131659999999997
2018,130,b4,2018_46,4y,C4,2.54,96.52664
2018,130,b4,2018_46,4y,C4,5.08,337.84324
2018,130,b4,2018_46,4y,C4,7.62,448.1594
2018,130,b4,2018_46,4y,C4,10.16,472.29105999999996
2018,130,b4,2018_46,4y,C4,12.7,475.73843999999997
2018,130,b4,2018_46,4y,C4,15.24,468.84368
2018,130,b4,2018_46,4y,C4,17.78,475.73843999999997
2018,130,b4,2018_46,4y,C4,20.32,496.42271999999997
2018,130,b4,2018_46,4y,C4,22.86,479.18582
2018,130,b4,2018_46,4y,C4,25.4,427.47512
2018,130,b4,2018_46,4y,C4,27.94,565.37032
2018,130,b4,2018_46,4y,C4,30.48,696.37076
2018,130,b4,2018_46,4y,C4,33.02,810.1342999999999
2018,130,b4,2018_46,4y,C4,35.56,851.5028599999999
2018,130,b4,2018_46,4y,C4,38.1,841.16072
2018,130,b4,2018_46,4y,C4,40.64,841.16072
2018,130,b4,2018_46,4y,C4,43.18,861.845
2018,130,b4,2018_46,4y,C4,45.72,889.42404
2018,197,b1,2018_13,2y,C2,0,427.125
2018,197,b1,2018_13,2y,C2,2.5,1099.875
2018,197,b1,2018_13,2y,C2,5,1556.625
2018,197,b1,2018_13,2y,C2,7.5,1569.5
2018,197,b1,2018_13,2y,C2,10,1401.75
2018,197,b1,2018_13,2y,C2,12.5,1431.875
2018,197,b1,2018_13,2y,C2,15,1418.875
2018,197,b1,2018_13,2y,C2,17.5,1349.875
2018,197,b1,2018_13,2y,C2,20,1280.75
2018,197,b1,2018_13,2y,C2,22.5,1186.125
2018,197,b1,2018_13,2y,C2,25,1095.25
2018,197,b1,2018_13,2y,C2,27.5,1078.25
2018,197,b1,2018_13,2y,C2,30,1069.75
2018,197,b1,2018_13,2y,C2,32.5,1043.875
2018,197,b1,2018_13,2y,C2,35,1056.5
2018,197,b1,2018_13,2y,C2,37.5,1039.5
2018,197,b1,2018_13,2y,C2,40,1004.875
2018,197,b1,2018_18,4y,C4,0,90.375
2018,197,b1,2018_18,4y,C4,2.5,258.625
2018,197,b1,2018_18,4y,C4,5,845.25
2018,197,b1,2018_18,4y,C4,7.5,1065.125
2018,197,b1,2018_18,4y,C4,10,1000.375
2018,197,b1,2018_18,4y,C4,12.5,949
2018,197,b1,2018_18,4y,C4,15,966
2018,197,b1,2018_18,4y,C4,17.5,914.125
2018,197,b1,2018_18,4y,C4,20,888.25
2018,197,b1,2018_18,4y,C4,22.5,918.625
2018,197,b1,2018_18,4y,C4,25,922.875
2018,197,b1,2018_18,4y,C4,27.5,1000.25
2018,197,b1,2018_18,4y,C4,30,1082.375
2018,197,b1,2018_18,4y,C4,32.5,1121.25
2018,197,b1,2018_18,4y,C4,35,1125.75
2018,197,b1,2018_18,4y,C4,37.5,1151.375
2018,197,b1,2018_18,4y,C4,40,1143
2018,197,b2,2018_24,2y,C2,0,392.5
2018,197,b2,2018_24,2y,C2,2.5,910
2018,197,b2,2018_24,2y,C2,5,1690.375
2018,197,b2,2018_24,2y,C2,7.5,1871.625
2018,197,b2,2018_24,2y,C2,10,1690.625
2018,197,b2,2018_24,2y,C2,12.5,1660
2018,197,b2,2018_24,2y,C2,15,1599.75
2018,197,b2,2018_24,2y,C2,17.5,1569.625
2018,197,b2,2018_24,2y,C2,20,1505.125
2018,197,b2,2018_24,2y,C2,22.5,1401.625
2018,197,b2,2018_24,2y,C2,25,1362.625
2018,197,b2,2018_24,2y,C2,27.5,1380
2018,197,b2,2018_24,2y,C2,30,1328.125
2018,197,b2,2018_24,2y,C2,32.5,1336.875
2018,197,b2,2018_24,2y,C2,35,1337
2018,197,b2,2018_24,2y,C2,37.5,1298.125
2018,197,b2,2018_24,2y,C2,40,1280.625
2018,197,b2,2018_28,4y,C4,0,219.875
2018,197,b2,2018_28,4y,C4,2.5,470
2018,197,b2,2018_28,4y,C4,5,806.625
2018,197,b2,2018_28,4y,C4,7.5,1017.75
2018,197,b2,2018_28,4y,C4,10,1047.75
2018,197,b2,2018_28,4y,C4,12.5,991.75
2018,197,b2,2018_28,4y,C4,15,970.25
2018,197,b2,2018_28,4y,C4,17.5,953
2018,197,b2,2018_28,4y,C4,20,909.875
2018,197,b2,2018_28,4y,C4,22.5,905.5
2018,197,b2,2018_28,4y,C4,25,1048.125
2018,197,b2,2018_28,4y,C4,27.5,1194.5
2018,197,b2,2018_28,4y,C4,30,1220.375
2018,197,b2,2018_28,4y,C4,32.5,1268.125
2018,197,b2,2018_28,4y,C4,35,1242.25
2018,197,b2,2018_28,4y,C4,37.5,1268
2018,197,b2,2018_28,4y,C4,40,1233.375
2018,197,b3,2018_34,2y,C2,0,129
2018,197,b3,2018_34,2y,C2,2.5,556.25
2018,197,b3,2018_34,2y,C2,5,1108.25
2018,197,b3,2018_34,2y,C2,7.5,1199
2018,197,b3,2018_34,2y,C2,10,1578.375
2018,197,b3,2018_34,2y,C2,12.5,1763.75
2018,197,b3,2018_34,2y,C2,15,1552.375
2018,197,b3,2018_34,2y,C2,17.5,1828.375
2018,197,b3,2018_34,2y,C2,20,1815.75
2018,197,b3,2018_34,2y,C2,22.5,1772.375
2018,197,b3,2018_34,2y,C2,25,1630.125
2018,197,b3,2018_34,2y,C2,27.5,1453.5
2018,197,b3,2018_34,2y,C2,30,1397.25
2018,197,b3,2018_34,2y,C2,32.5,1345.5
2018,197,b3,2018_34,2y,C2,35,1216
2018,197,b3,2018_34,2y,C2,37.5,1147.125
2018,197,b3,2018_34,2y,C2,40,1043.625
2018,197,b3,2018_37,4y,C4,0,95
2018,197,b3,2018_37,4y,C4,2.5,289.125
2018,197,b3,2018_37,4y,C4,5,677.125
2018,197,b3,2018_37,4y,C4,7.5,849.625
2018,197,b3,2018_37,4y,C4,10,841
2018,197,b3,2018_37,4y,C4,12.5,858
2018,197,b3,2018_37,4y,C4,15,888.625
2018,197,b3,2018_37,4y,C4,17.5,841.125
2018,197,b3,2018_37,4y,C4,20,802
2018,197,b3,2018_37,4y,C4,22.5,728.75
2018,197,b3,2018_37,4y,C4,25,797.875
2018,197,b3,2018_37,4y,C4,27.5,987.5
2018,197,b3,2018_37,4y,C4,30,1112.625
2018,197,b3,2018_37,4y,C4,32.5,1324
2018,197,b3,2018_37,4y,C4,35,1431.625
2018,197,b3,2018_37,4y,C4,37.5,1319.5
2018,197,b3,2018_37,4y,C4,40,1349.875
2018,197,b4,2018_44,2y,C2,0,224.125
2018,197,b4,2018_44,2y,C2,2.5,707.5
2018,197,b4,2018_44,2y,C2,5,1401.5
2018,197,b4,2018_44,2y,C2,7.5,1561.125
2018,197,b4,2018_44,2y,C2,10,1612.75
2018,197,b4,2018_44,2y,C2,12.5,1565.375
2018,197,b4,2018_44,2y,C2,15,1656.125
2018,197,b4,2018_44,2y,C2,17.5,1772.375
2018,197,b4,2018_44,2y,C2,20,1746.375
2018,197,b4,2018_44,2y,C2,22.5,1677.75
2018,197,b4,2018_44,2y,C2,25,1586.875
2018,197,b4,2018_44,2y,C2,27.5,1431.75
2018,197,b4,2018_44,2y,C2,30,1436.125
2018,197,b4,2018_44,2y,C2,32.5,1302.25
2018,197,b4,2018_44,2y,C2,35,1263.5
2018,197,b4,2018_44,2y,C2,37.5,1310.75
2018,197,b4,2018_44,2y,C2,40,1267.875
2018,197,b4,2018_46,4y,C4,0,172.25
2018,197,b4,2018_46,4y,C4,2.5,508.875
2018,197,b4,2018_46,4y,C4,5,819.375
2018,197,b4,2018_46,4y,C4,7.5,983.125
2018,197,b4,2018_46,4y,C4,10,1026.5
2018,197,b4,2018_46,4y,C4,12.5,944.375
2018,197,b4,2018_46,4y,C4,15,880
2018,197,b4,2018_46,4y,C4,17.5,896.875
2018,197,b4,2018_46,4y,C4,20,849.75
2018,197,b4,2018_46,4y,C4,22.5,836.75
2018,197,b4,2018_46,4y,C4,25,879.875
2018,197,b4,2018_46,4y,C4,27.5,992
2018,197,b4,2018_46,4y,C4,30,1125.625
2018,197,b4,2018_46,4y,C4,32.5,1155.875
2018,197,b4,2018_46,4y,C4,35,1216.125
