year,date,doy,plot_id,block,plot,rot_trt,harv_crop,mass_gpl
2013,2013-06-02,153,2013_14,b1,14,4y,C4,0.1175
2013,2013-06-02,153,2013_19,b1,19,2y,C2,0.0925
2013,2013-06-02,153,2013_27,b2,27,2y,C2,0.095
2013,2013-06-02,153,2013_29,b2,29,4y,C4,0.0975
2013,2013-06-02,153,2013_32,b3,32,4y,C4,0.105
2013,2013-06-02,153,2013_35,b3,35,2y,C2,0.0925
2013,2013-06-02,153,2013_45,b4,45,2y,C2,0.105
2013,2013-06-02,153,2013_49,b4,49,4y,C4,0.1325
2013,2013-06-17,168,2013_14,b1,14,4y,C4,2.5725
2013,2013-06-17,168,2013_19,b1,19,2y,C2,1.535
2013,2013-06-17,168,2013_27,b2,27,2y,C2,1.3175
2013,2013-06-17,168,2013_29,b2,29,4y,C4,2.925
2013,2013-06-17,168,2013_32,b3,32,4y,C4,2.64
2013,2013-06-17,168,2013_35,b3,35,2y,C2,1.505
2013,2013-06-17,168,2013_45,b4,45,2y,C2,1.4675
2013,2013-06-17,168,2013_49,b4,49,4y,C4,3.5275
2013,2013-07-04,185,2013_14,b1,14,4y,C4,32.8725
2013,2013-07-04,185,2013_19,b1,19,2y,C2,25.065
2013,2013-07-04,185,2013_27,b2,27,2y,C2,23.155
2013,2013-07-04,185,2013_29,b2,29,4y,C4,45.1725
2013,2013-07-04,185,2013_32,b3,32,4y,C4,35.4575
2013,2013-07-04,185,2013_35,b3,35,2y,C2,20.5
2013,2013-07-04,185,2013_45,b4,45,2y,C2,20.805
2013,2013-07-04,185,2013_49,b4,49,4y,C4,42.435
2013,2013-07-24,205,2013_14,b1,14,4y,C4,122.0775
2013,2013-07-24,205,2013_19,b1,19,2y,C2,77.0775
2013,2013-07-24,205,2013_27,b2,27,2y,C2,80.21
2013,2013-07-24,205,2013_29,b2,29,4y,C4,130.455
2013,2013-07-24,205,2013_32,b3,32,4y,C4,112.5975
2013,2013-07-24,205,2013_35,b3,35,2y,C2,72.315
2013,2013-07-24,205,2013_45,b4,45,2y,C2,79.7575
2013,2013-07-24,205,2013_49,b4,49,4y,C4,111.63
2013,2013-08-04,216,2013_14,b1,14,4y,C4,170.875
2013,2013-08-04,216,2013_19,b1,19,2y,C2,118.125
2013,2013-08-04,216,2013_27,b2,27,2y,C2,131.875
2013,2013-08-04,216,2013_29,b2,29,4y,C4,178
2013,2013-08-04,216,2013_32,b3,32,4y,C4,172
2013,2013-08-04,216,2013_35,b3,35,2y,C2,140.125
2013,2013-08-04,216,2013_45,b4,45,2y,C2,130.625
2013,2013-08-04,216,2013_49,b4,49,4y,C4,158.5
2013,2013-08-31,243,2013_14,b1,14,4y,C4,211.625
2013,2013-08-31,243,2013_19,b1,19,2y,C2,207.625
2013,2013-08-31,243,2013_27,b2,27,2y,C2,186.875
2013,2013-08-31,243,2013_29,b2,29,4y,C4,208.125
2013,2013-08-31,243,2013_32,b3,32,4y,C4,209.625
2013,2013-08-31,243,2013_35,b3,35,2y,C2,166.625
2013,2013-08-31,243,2013_45,b4,45,2y,C2,208
2013,2013-08-31,243,2013_49,b4,49,4y,C4,261.25
2013,2013-10-08,281,2013_14,b1,14,4y,C4,212.375
2013,2013-10-08,281,2013_19,b1,19,2y,C2,190.375
2013,2013-10-08,281,2013_27,b2,27,2y,C2,203
2013,2013-10-08,281,2013_29,b2,29,4y,C4,287.125
2013,2013-10-08,281,2013_32,b3,32,4y,C4,253.75
2013,2013-10-08,281,2013_35,b3,35,2y,C2,218.75
2013,2013-10-08,281,2013_45,b4,45,2y,C2,188.875
2013,2013-10-08,281,2013_49,b4,49,4y,C4,300.5
2014,2014-05-20,140,2014_13,b1,13,2y,C2,0.0525
2014,2014-05-20,140,2014_24,b2,24,2y,C2,0.06
2014,2014-05-20,140,2014_34,b3,34,2y,C2,0.05
2014,2014-05-20,140,2014_44,b4,44,2y,C2,0.055
2014,2014-05-20,140,2014_18,b1,18,4y,C4,0.045
2014,2014-05-20,140,2014_28,b2,28,4y,C4,0.06
2014,2014-05-20,140,2014_37,b3,37,4y,C4,0.0375
2014,2014-05-20,140,2014_46,b4,46,4y,C4,0.0425
2014,2014-05-30,150,2014_13,b1,13,2y,C2,0.7725
2014,2014-05-30,150,2014_24,b2,24,2y,C2,0.945
2014,2014-05-30,150,2014_34,b3,34,2y,C2,0.6175
2014,2014-05-30,150,2014_44,b4,44,2y,C2,1.0375
2014,2014-05-30,150,2014_18,b1,18,4y,C4,0.8725
2014,2014-05-30,150,2014_28,b2,28,4y,C4,1.135
2014,2014-05-30,150,2014_37,b3,37,4y,C4,0.7675
2014,2014-05-30,150,2014_46,b4,46,4y,C4,1.065
2014,2014-06-18,169,2014_13,b1,13,2y,C2,20.2
2014,2014-06-18,169,2014_24,b2,24,2y,C2,16.25
2014,2014-06-18,169,2014_34,b3,34,2y,C2,17
2014,2014-06-18,169,2014_44,b4,44,2y,C2,19.575
2014,2014-06-18,169,2014_18,b1,18,4y,C4,17.925
2014,2014-06-18,169,2014_28,b2,28,4y,C4,24.825
2014,2014-06-18,169,2014_37,b3,37,4y,C4,18.925
2014,2014-06-18,169,2014_46,b4,46,4y,C4,18.55
2014,2014-06-26,177,2014_13,b1,13,2y,C2,48.05
2014,2014-06-26,177,2014_24,b2,24,2y,C2,54.375
2014,2014-06-26,177,2014_34,b3,34,2y,C2,51.45
2014,2014-06-26,177,2014_44,b4,44,2y,C2,52.025
2014,2014-06-26,177,2014_18,b1,18,4y,C4,59.05
2014,2014-06-26,177,2014_28,b2,28,4y,C4,64.875
2014,2014-06-26,177,2014_37,b3,37,4y,C4,63.275
2014,2014-06-26,177,2014_46,b4,46,4y,C4,58.625
2014,2014-07-11,192,2014_13,b1,13,2y,C2,104.0107161
2014,2014-07-11,192,2014_24,b2,24,2y,C2,108.324499775
2014,2014-07-11,192,2014_34,b3,34,2y,C2,100.33684535
2014,2014-07-11,192,2014_44,b4,44,2y,C2,122.955495075
2014,2014-07-11,192,2014_18,b1,18,4y,C4,113.52423445
2014,2014-07-11,192,2014_28,b2,28,4y,C4,126.1779182
2014,2014-07-11,192,2014_37,b3,37,4y,C4,113.702462175
2014,2014-07-11,192,2014_46,b4,46,4y,C4,108.98594925
2014,2014-07-23,204,2014_13,b1,13,2y,C2,186.8986282
2014,2014-07-23,204,2014_24,b2,24,2y,C2,177.402290425
2014,2014-07-23,204,2014_34,b3,34,2y,C2,159.3724985
2014,2014-07-23,204,2014_44,b4,44,2y,C2,177.87463815
2014,2014-07-23,204,2014_18,b1,18,4y,C4,168.93545315
2014,2014-07-23,204,2014_28,b2,28,4y,C4,204.70557715
2014,2014-07-23,204,2014_37,b3,37,4y,C4,176.36488895
2014,2014-07-23,204,2014_46,b4,46,4y,C4,198.16793375
2014,2014-08-02,214,2014_13,b1,13,2y,C2,246.475
2014,2014-08-02,214,2014_24,b2,24,2y,C2,208.35
2014,2014-08-02,214,2014_34,b3,34,2y,C2,199.9
2014,2014-08-02,214,2014_44,b4,44,2y,C2,204.1
2014,2014-08-02,214,2014_18,b1,18,4y,C4,224.1
2014,2014-08-02,214,2014_28,b2,28,4y,C4,247.175
2014,2014-08-02,214,2014_37,b3,37,4y,C4,238.925
2014,2014-08-02,214,2014_46,b4,46,4y,C4,193.825
2014,2014-08-17,229,2014_13,b1,13,2y,C2,264.675
2014,2014-08-17,229,2014_24,b2,24,2y,C2,220.425
2014,2014-08-17,229,2014_34,b3,34,2y,C2,246.05
2014,2014-08-17,229,2014_44,b4,44,2y,C2,237.3
2014,2014-08-17,229,2014_18,b1,18,4y,C4,259.125
2014,2014-08-17,229,2014_28,b2,28,4y,C4,238.825
2014,2014-08-17,229,2014_37,b3,37,4y,C4,248.475
2014,2014-08-17,229,2014_46,b4,46,4y,C4,269.95
2014,2014-09-08,251,2014_13,b1,13,2y,C2,283.9
2014,2014-09-08,251,2014_24,b2,24,2y,C2,314.475
2014,2014-09-08,251,2014_34,b3,34,2y,C2,312.75
2014,2014-09-08,251,2014_44,b4,44,2y,C2,323.625
2014,2014-09-08,251,2014_18,b1,18,4y,C4,301.175
2014,2014-09-08,251,2014_28,b2,28,4y,C4,339.65
2014,2014-09-08,251,2014_37,b3,37,4y,C4,335.375
2014,2014-09-08,251,2014_46,b4,46,4y,C4,347.175
2014,2014-09-22,265,2014_13,b1,13,2y,C2,336.1
2014,2014-09-22,265,2014_24,b2,24,2y,C2,328.025
2014,2014-09-22,265,2014_34,b3,34,2y,C2,349.825
2014,2014-09-22,265,2014_44,b4,44,2y,C2,304.8
2014,2014-09-22,265,2014_18,b1,18,4y,C4,342.575
2014,2014-09-22,265,2014_28,b2,28,4y,C4,369.925
2014,2014-09-22,265,2014_37,b3,37,4y,C4,360.85
2014,2014-09-22,265,2014_46,b4,46,4y,C4,336.1
2018,2018-04-23,113,2018_13,b1,13,2y,C2,0
2018,2018-04-23,113,2018_18,b1,18,4y,C4,0
2018,2018-04-23,113,2018_24,b2,24,2y,C2,0
2018,2018-04-23,113,2018_28,b2,28,4y,C4,0
2018,2018-04-23,113,2018_34,b3,34,2y,C2,0
2018,2018-04-23,113,2018_37,b3,37,4y,C4,0
2018,2018-04-23,113,2018_44,b4,44,2y,C2,0
2018,2018-04-23,113,2018_46,b4,46,4y,C4,0
2018,2018-06-01,152,2018_13,b1,13,2y,C2,1.9874999999999998
2018,2018-06-01,152,2018_18,b1,18,4y,C4,2.9266666666666663
2018,2018-06-01,152,2018_24,b2,24,2y,C2,3.6014285714285714
2018,2018-06-01,152,2018_28,b2,28,4y,C4,2.835
2018,2018-06-01,152,2018_34,b3,34,2y,C2,1.62625
2018,2018-06-01,152,2018_37,b3,37,4y,C4,3.2157142857142857
2018,2018-06-01,152,2018_44,b4,44,2y,C2,2.855
2018,2018-06-01,152,2018_46,b4,46,4y,C4,2.87125
2018,2018-06-18,169,2018_13,b1,13,2y,C2,37.25
2018,2018-06-18,169,2018_18,b1,18,4y,C4,34.0875
2018,2018-06-18,169,2018_24,b2,24,2y,C2,34.2375
2018,2018-06-18,169,2018_28,b2,28,4y,C4,34.475
2018,2018-06-18,169,2018_34,b3,34,2y,C2,28.7875
2018,2018-06-18,169,2018_37,b3,37,4y,C4,35.4375
2018,2018-06-18,169,2018_44,b4,44,2y,C2,25.3
2018,2018-06-18,169,2018_46,b4,46,4y,C4,34.7625
2018,2018-07-03,184,2018_13,b1,13,2y,C2,85.10749999999999
2018,2018-07-03,184,2018_18,b1,18,4y,C4,96.4825
2018,2018-07-03,184,2018_24,b2,24,2y,C2,96.87125
2018,2018-07-03,184,2018_28,b2,28,4y,C4,91.9
2018,2018-07-03,184,2018_34,b3,34,2y,C2,93.18249999999999
2018,2018-07-03,184,2018_37,b3,37,4y,C4,95.215
2018,2018-07-03,184,2018_44,b4,44,2y,C2,98.64875
2018,2018-07-03,184,2018_46,b4,46,4y,C4,83.28124999999999
2018,2018-07-17,198,2018_13,b1,13,2y,C2,140.57777777777775
2018,2018-07-17,198,2018_18,b1,18,4y,C4,140.37777777777777
2018,2018-07-17,198,2018_24,b2,24,2y,C2,150.65555555555554
2018,2018-07-17,198,2018_28,b2,28,4y,C4,166.19999999999996
2018,2018-07-17,198,2018_34,b3,34,2y,C2,145.45555555555555
2018,2018-07-17,198,2018_37,b3,37,4y,C4,141.47142857142856
2018,2018-07-17,198,2018_44,b4,44,2y,C2,141.3625
2018,2018-07-17,198,2018_46,b4,46,4y,C4,157.25
2018,2018-09-27,270,2018_13,b1,13,2y,C2,203.925
2018,2018-09-27,270,2018_18,b1,18,4y,C4,260.05
2018,2018-09-27,270,2018_24,b2,24,2y,C2,246.96249999999998
2018,2018-09-27,270,2018_28,b2,28,4y,C4,305.775
2018,2018-09-27,270,2018_34,b3,34,2y,C2,245.8875
2018,2018-09-27,270,2018_37,b3,37,4y,C4,288.525
2018,2018-09-27,270,2018_44,b4,44,2y,C2,254.925
2018,2018-09-27,270,2018_46,b4,46,4y,C4,286.025
2019,2019-06-03,154,2019_12,b1,12,4y,C4,0
2019,2019-06-03,154,2019_19,b1,19,2y,C2,0
2019,2019-06-03,154,2019_21,b2,21,4y,C4,0
2019,2019-06-03,154,2019_27,b2,27,2y,C2,0
2019,2019-06-03,154,2019_31,b3,31,4y,C4,0
2019,2019-06-03,154,2019_35,b3,35,2y,C2,0
2019,2019-06-03,154,2019_43,b4,43,4y,C4,0
2019,2019-06-03,154,2019_45,b4,45,2y,C2,0
2019,2019-06-25,176,2019_12,b1,12,4y,C4,2.2874999999999996
2019,2019-06-25,176,2019_19,b1,19,2y,C2,1.3750000000000002
2019,2019-06-25,176,2019_21,b2,21,4y,C4,2.7499999999999996
2019,2019-06-25,176,2019_27,b2,27,2y,C2,1.9000000000000001
2019,2019-06-25,176,2019_31,b3,31,4y,C4,1.8749999999999996
2019,2019-06-25,176,2019_35,b3,35,2y,C2,1.8249999999999995
2019,2019-06-25,176,2019_43,b4,43,4y,C4,2.525
2019,2019-06-25,176,2019_45,b4,45,2y,C2,1.4124999999999996
2019,2019-07-02,183,2019_12,b1,12,4y,C4,8.075
2019,2019-07-02,183,2019_19,b1,19,2y,C2,10.925
2019,2019-07-02,183,2019_21,b2,21,4y,C4,13.625
2019,2019-07-02,183,2019_27,b2,27,2y,C2,8.2625
2019,2019-07-02,183,2019_31,b3,31,4y,C4,9.6125
2019,2019-07-02,183,2019_35,b3,35,2y,C2,8.5875
2019,2019-07-02,183,2019_43,b4,43,4y,C4,10.7
2019,2019-07-02,183,2019_45,b4,45,2y,C2,7.699999999999999
2019,2019-07-15,196,2019_12,b1,12,4y,C4,48.33875
2019,2019-07-15,196,2019_19,b1,19,2y,C2,46.76625
2019,2019-07-15,196,2019_21,b2,21,4y,C4,48.485
2019,2019-07-15,196,2019_27,b2,27,2y,C2,62.777499999999996
2019,2019-07-15,196,2019_31,b3,31,4y,C4,32.24125
2019,2019-07-15,196,2019_35,b3,35,2y,C2,44.65875
2019,2019-07-15,196,2019_43,b4,43,4y,C4,40.1875
2019,2019-07-15,196,2019_45,b4,45,2y,C2,60.91875
2019,2019-07-24,205,2019_12,b1,12,4y,C4,138
2019,2019-07-24,205,2019_19,b1,19,2y,C2,113.875
2019,2019-07-24,205,2019_21,b2,21,4y,C4,104.625
2019,2019-07-24,205,2019_27,b2,27,2y,C2,142.875
2019,2019-07-24,205,2019_31,b3,31,4y,C4,145.5
2019,2019-07-24,205,2019_35,b3,35,2y,C2,106
2019,2019-07-24,205,2019_43,b4,43,4y,C4,131.5
2019,2019-07-24,205,2019_45,b4,45,2y,C2,127.875
2019,2019-08-01,213,2019_12,b1,12,4y,C4,104.125
2019,2019-08-01,213,2019_19,b1,19,2y,C2,128.875
2019,2019-08-01,213,2019_21,b2,21,4y,C4,143.4375
2019,2019-08-01,213,2019_27,b2,27,2y,C2,117.3125
2019,2019-08-01,213,2019_31,b3,31,4y,C4,135.3125
2019,2019-08-01,213,2019_35,b3,35,2y,C2,139.125
2019,2019-08-01,213,2019_43,b4,43,4y,C4,123.625
2019,2019-08-01,213,2019_45,b4,45,2y,C2,144.5
2019,2019-08-19,231,2019_12,b1,12,4y,C4,220.25
2019,2019-08-19,231,2019_19,b1,19,2y,C2,218.25
2019,2019-08-19,231,2019_21,b2,21,4y,C4,147
2019,2019-08-19,231,2019_27,b2,27,2y,C2,187.25
2019,2019-08-19,231,2019_31,b3,31,4y,C4,195.875
2019,2019-08-19,231,2019_35,b3,35,2y,C2,231.125
2019,2019-08-19,231,2019_43,b4,43,4y,C4,211.5
2019,2019-08-19,231,2019_45,b4,45,2y,C2,207.25
2019,2019-09-20,263,2019_12,b1,12,4y,C4,287.25
2019,2019-09-20,263,2019_19,b1,19,2y,C2,295.75
2019,2019-09-20,263,2019_21,b2,21,4y,C4,275.75
2019,2019-09-20,263,2019_27,b2,27,2y,C2,316
2019,2019-09-20,263,2019_31,b3,31,4y,C4,294.25
2019,2019-09-20,263,2019_35,b3,35,2y,C2,298.75
2019,2019-09-20,263,2019_43,b4,43,4y,C4,310.75
2019,2019-09-20,263,2019_45,b4,45,2y,C2,331.375
2019,2019-10-19,292,2019_12,b1,12,4y,C4,325.25
2019,2019-10-19,292,2019_19,b1,19,2y,C2,315
2019,2019-10-19,292,2019_21,b2,21,4y,C4,305.375
2019,2019-10-19,292,2019_27,b2,27,2y,C2,293.125
2019,2019-10-19,292,2019_31,b3,31,4y,C4,320.25
2019,2019-10-19,292,2019_35,b3,35,2y,C2,292
2019,2019-10-19,292,2019_43,b4,43,4y,C4,301.625
2019,2019-10-19,292,2019_45,b4,45,2y,C2,347.75
2020,2020-04-23,114,2020_13,b1,13,2y,C2,0
2020,2020-04-23,114,2020_17,b1,17,4y,C4,0
2020,2020-04-23,114,2020_22,b2,22,4y,C4,0
2020,2020-04-23,114,2020_24,b2,24,2y,C2,0
2020,2020-04-23,114,2020_34,b3,34,2y,C2,0
2020,2020-04-23,114,2020_39,b3,39,4y,C4,0
2020,2020-04-23,114,2020_41,b4,41,4y,C4,0
2020,2020-04-23,114,2020_44,b4,44,2y,C2,0
2020,2020-06-12,164,2020_13,b1,13,2y,C2,11.26
2020,2020-06-12,164,2020_17,b1,17,4y,C4,13.27875
2020,2020-06-12,164,2020_22,b2,22,4y,C4,9.32375
2020,2020-06-12,164,2020_24,b2,24,2y,C2,10.235
2020,2020-06-12,164,2020_34,b3,34,2y,C2,10.03125
2020,2020-06-12,164,2020_39,b3,39,4y,C4,9.27375
2020,2020-06-12,164,2020_41,b4,41,4y,C4,9.26875
2020,2020-06-12,164,2020_44,b4,44,2y,C2,8.14375
2020,2020-07-23,205,2020_13,b1,13,2y,C2,136.625
2020,2020-07-23,205,2020_17,b1,17,4y,C4,155.5
2020,2020-07-23,205,2020_22,b2,22,4y,C4,139.125
2020,2020-07-23,205,2020_24,b2,24,2y,C2,155.5
2020,2020-07-23,205,2020_34,b3,34,2y,C2,131.875
2020,2020-07-23,205,2020_39,b3,39,4y,C4,126.125
2020,2020-07-23,205,2020_41,b4,41,4y,C4,145.75
2020,2020-07-23,205,2020_44,b4,44,2y,C2,142.625
2020,2020-09-24,268,2020_13,b1,13,2y,C2,257.625
2020,2020-09-24,268,2020_17,b1,17,4y,C4,293.4125
2020,2020-09-24,268,2020_22,b2,22,4y,C4,317.15
2020,2020-09-24,268,2020_24,b2,24,2y,C2,293.4125
2020,2020-09-24,268,2020_34,b3,34,2y,C2,294.775
2020,2020-09-24,268,2020_39,b3,39,4y,C4,310.0875
2020,2020-09-24,268,2020_41,b4,41,4y,C4,266.7875
2020,2020-09-24,268,2020_44,b4,44,2y,C2,302.7125
