"year","doy","Plot","System","organ","mass_g","totC_g","totN_g","CN_ratio","N_prct"
2013,153,14,4,"plant",0.47,0.208,0.02,10.549,4.19
2013,153,16,3,"plant",0.47,0.204,0.015,13.894,3.13
2013,153,19,2,"plant",0.37,0.159,0.019,8.324,5.17
2013,153,25,3,"plant",0.41,0.181,0.017,10.791,4.1
2013,153,27,2,"plant",0.38,0.162,0.014,11.494,3.71
2013,153,29,4,"plant",0.39,0.175,0.017,10.571,4.24
2013,153,32,4,"plant",0.42,0.179,0.014,13.173,3.24
2013,153,33,3,"plant",0.43,0.186,0.015,12.014,3.59
2013,153,35,2,"plant",0.37,0.162,0.019,8.67,5.04
2013,153,42,3,"plant",0.46,0.2,0.018,11.312,3.83
2013,153,45,2,"plant",0.42,0.182,0.019,9.746,4.45
2013,153,49,4,"plant",0.53,0.234,0.024,9.915,4.45
2013,168,14,4,"plant",10.29,4.357,0.423,10.302,4.11
2013,168,16,3,"plant",7.72,3.244,0.285,11.384,3.69
2013,168,19,2,"plant",6.14,2.621,0.263,9.967,4.28
2013,168,25,3,"plant",8.87,3.784,0.349,10.849,3.93
2013,168,27,2,"plant",5.27,2.149,0.221,9.709,4.2
2013,168,29,4,"plant",11.7,5.097,0.515,9.896,4.4
2013,168,32,4,"plant",10.56,4.528,0.426,10.619,4.04
2013,168,33,3,"plant",9.23,3.875,0.335,11.565,3.63
2013,168,35,2,"plant",6.02,2.593,0.253,10.265,4.2
2013,168,42,3,"plant",7.73,3.271,0.282,11.598,3.65
2013,168,45,2,"plant",5.87,2.556,0.249,10.264,4.24
2013,168,49,4,"plant",14.11,5.89,0.547,10.774,3.87
2013,185,14,4,"plant",131.49,55.312,2.788,19.842,2.12
2013,185,16,3,"plant",117.46,49.369,2.421,20.396,2.061
2013,185,19,2,"plant",100.26,41.98,2.833,14.819,2.825
2013,185,25,3,"plant",164.94,67.803,3.425,19.798,2.076
2013,185,27,2,"plant",92.62,39.302,2.824,13.919,3.049
2013,185,29,4,"plant",180.69,77.06,3.966,19.429,2.195
2013,185,32,4,"plant",141.83,60.946,3.496,17.431,2.465
2013,185,33,3,"plant",142.04,60.464,2.966,20.388,2.088
2013,185,35,2,"plant",82,35.165,2.582,13.619,3.149
2013,185,42,3,"plant",149.2,63.824,3.253,19.623,2.18
2013,185,45,2,"plant",83.22,35.874,2.331,15.391,2.801
2013,185,49,4,"plant",169.74,71.316,3.84,18.571,2.262
2013,205,14,4,"plant",488.31,212.332,5.196,40.867,1.064
2013,205,16,3,"plant",355.94,156.724,2.787,56.233,0.783
2013,205,19,2,"plant",308.31,134.764,3.445,39.119,1.117
2013,205,25,3,"plant",480.13,214.312,5.306,40.394,1.105
2013,205,27,2,"plant",320.84,142.03,3.068,46.291,0.956
2013,205,29,4,"plant",521.82,227.603,5.951,38.247,1.14
2013,205,32,4,"plant",450.39,199.759,4.059,49.213,0.901
2013,205,33,3,"plant",346.39,147.543,3.328,44.332,0.961
2013,205,35,2,"plant",289.26,129.004,3.452,37.37,1.193
2013,205,42,3,"plant",456.32,199.768,4.708,42.427,1.032
2013,205,45,2,"plant",319.03,140.796,3.919,35.923,1.229
2013,205,49,4,"plant",446.52,197.254,5.979,32.991,1.339
2013,216,14,4,"plant",683.5,300.464,7.328,41.003,1.072
2013,216,16,3,"plant",573.5,253.066,5.471,46.258,0.954
2013,216,19,2,"plant",472.5,208.082,4.25,48.958,0.9
2013,216,25,3,"plant",733.5,325.486,9.22,35.302,1.257
2013,216,27,2,"plant",527.5,232.24,6.935,33.486,1.315
2013,216,29,4,"plant",712,315.068,8.917,35.335,1.252
2013,216,32,4,"plant",688,304.302,7.849,38.767,1.141
2013,216,33,3,"plant",551,242.225,5.036,48.095,0.914
2013,216,35,2,"plant",560.5,248.237,5.818,42.668,1.038
2013,216,42,3,"plant",571,251.288,5.212,48.209,0.913
2013,216,45,2,"plant",522.5,227.506,5.045,45.092,0.966
2013,216,49,4,"plant",634,278.303,6.526,42.643,1.029
2013,243,14,4,"plant",846.5,360.27,7.352,49.003,0.869
2013,243,16,3,"plant",722.5,308.511,5.734,53.8,0.794
2013,243,19,2,"plant",830.5,356.495,7.098,50.226,0.855
2013,243,25,3,"plant",844,372.743,8.183,45.553,0.969
2013,243,27,2,"plant",747.5,324.306,6.262,51.788,0.721
2013,243,29,4,"plant",832.5,364.98,8.45,43.195,1.015
2013,243,32,4,"plant",838.5,364.55,6.81,53.532,0.812
2013,243,33,3,"plant",784,335.918,7.501,44.781,0.851
2013,243,35,2,"plant",666.5,291.086,5.196,56.018,0.78
2013,243,42,3,"plant",857.5,373.724,7.376,50.666,0.860195102
2013,243,45,2,"plant",832,362.144,6.785,53.376,0.815480409
2013,243,49,4,"plant",1045,452.047,10.381,43.545,0.993413349
2013,281,14,4,"plant",849.5,364.04,7.48,48.67,0.881
2013,281,16,3,"plant",855.5,362.32,7.26,49.94,0.848
2013,281,19,2,"plant",761.5,332.46,6.65,50.01,0.873
2013,281,25,3,"plant",885,386.69,7.88,49.06,0.891
2013,281,27,2,"plant",812,352.74,6.53,54.04,0.804
2013,281,29,4,"plant",1148.5,499.44,10.23,48.84,0.89
2013,281,32,4,"plant",1015,442.83,8.79,50.39,0.866
2013,281,33,3,"plant",749,322.71,6.24,51.68,0.834
2013,281,35,2,"plant",875,372.43,7.97,46.71,0.911
2013,281,42,3,"plant",838,359.69,7.91,45.47,0.944
2013,281,45,2,"plant",755.5,327.51,6.45,50.81,0.853
2013,281,49,4,"plant",1202,521.3,11.02,47.32,0.917
2013,153,14,4,"leaf",0.47,NA,NA,NA,NA
2013,153,16,3,"leaf",0.47,NA,NA,NA,NA
2013,153,19,2,"leaf",0.37,NA,NA,NA,NA
2013,153,25,3,"leaf",0.41,NA,NA,NA,NA
2013,153,27,2,"leaf",0.38,NA,NA,NA,NA
2013,153,29,4,"leaf",0.39,NA,NA,NA,NA
2013,153,32,4,"leaf",0.42,NA,NA,NA,NA
2013,153,33,3,"leaf",0.43,NA,NA,NA,NA
2013,153,35,2,"leaf",0.37,NA,NA,NA,NA
2013,153,42,3,"leaf",0.46,NA,NA,NA,NA
2013,153,45,2,"leaf",0.42,NA,NA,NA,NA
2013,153,49,4,"leaf",0.53,NA,NA,NA,NA
2013,168,14,4,"leaf",10.29,NA,NA,NA,NA
2013,168,16,3,"leaf",7.72,NA,NA,NA,NA
2013,168,19,2,"leaf",6.14,NA,NA,NA,NA
2013,168,25,3,"leaf",8.87,NA,NA,NA,NA
2013,168,27,2,"leaf",5.27,NA,NA,NA,NA
2013,168,29,4,"leaf",11.7,NA,NA,NA,NA
2013,168,32,4,"leaf",10.56,NA,NA,NA,NA
2013,168,33,3,"leaf",9.23,NA,NA,NA,NA
2013,168,35,2,"leaf",6.02,NA,NA,NA,NA
2013,168,42,3,"leaf",7.73,NA,NA,NA,NA
2013,168,45,2,"leaf",5.87,NA,NA,NA,NA
2013,168,49,4,"leaf",14.11,NA,NA,NA,NA
2013,185,14,4,"leaf",84.95,36.724,2.249,16.332,2.65
2013,185,16,3,"leaf",75.77,32.505,1.934,16.804,2.55
2013,185,19,2,"leaf",68.76,29.553,1.971,14.997,2.87
2013,185,25,3,"leaf",101.98,42.77,2.543,16.816,2.49
2013,185,27,2,"leaf",64.89,28.299,2.034,13.915,3.13
2013,185,29,4,"leaf",112.46,48.335,2.973,16.256,2.64
2013,185,32,4,"leaf",90.17,40.081,2.589,15.482,2.87
2013,185,33,3,"leaf",92.14,40.394,2.418,16.707,2.62
2013,185,35,2,"leaf",58.66,25.763,1.836,14.032,3.13
2013,185,42,3,"leaf",93.26,40.755,2.616,15.579,2.81
2013,185,45,2,"leaf",57.81,25.494,1.652,15.43,2.86
2013,185,49,4,"leaf",104.36,44.791,2.921,15.334,2.8
2013,205,14,4,"leaf",141.81,62.064,3.229,19.222,2.28
2013,205,16,3,"leaf",108.2,47.239,1.488,31.748,1.38
2013,205,19,2,"leaf",103.37,45.607,1.965,23.209,1.9
2013,205,25,3,"leaf",145.85,65.035,2.956,21.998,2.03
2013,205,27,2,"leaf",106.72,45.644,1.836,24.866,1.72
2013,205,29,4,"leaf",149.19,61.66,3.023,20.4,2.03
2013,205,32,4,"leaf",133.09,58.852,1.972,29.838,1.48
2013,205,33,3,"leaf",108.94,46.724,1.967,23.749,1.81
2013,205,35,2,"leaf",96.24,43.077,1.861,23.144,1.93
2013,205,42,3,"leaf",132.39,58.159,2.571,22.621,1.94
2013,205,45,2,"leaf",112.84,50.654,1.794,28.233,1.59
2013,205,49,4,"leaf",135.13,59.754,3.253,18.367,2.41
2013,216,14,4,"leaf",159.5,69.042,3.337,20.687,2.09
2013,216,16,3,"leaf",123,53.223,2.319,22.947,1.89
2013,216,19,2,"leaf",108,46.823,1.928,24.29,1.78
2013,216,25,3,"leaf",157.5,69.048,3.93,17.569,2.5
2013,216,27,2,"leaf",123,53.391,2.563,20.835,2.08
2013,216,29,4,"leaf",154,66.918,3.373,19.837,2.19
2013,216,32,4,"leaf",149,64.734,3.541,18.282,2.38
2013,216,33,3,"leaf",123.5,53.647,2.164,24.789,1.75
2013,216,35,2,"leaf",127.5,56.103,2.292,24.478,1.8
2013,216,42,3,"leaf",124,53.772,2.036,26.407,1.64
2013,216,45,2,"leaf",119,51.251,2.204,23.255,1.85
2013,216,49,4,"leaf",137.5,57.31,2.71,21.147,1.97
2013,243,14,4,"leaf",138.5,57.034,1.994,28.597,1.44
2013,243,16,3,"leaf",109,45.006,1.163,38.697,1.07
2013,243,19,2,"leaf",118.5,48.692,1.907,25.538,1.61
2013,243,25,3,"leaf",134,56.977,2.348,24.269,1.75
2013,243,27,2,"leaf",121,50.913,1.698,29.976,1.4
2013,243,29,4,"leaf",121.5,52.427,2.473,21.204,2.04
2013,243,32,4,"leaf",127.5,53.588,1.66,32.281,1.3
2013,243,33,3,"leaf",118.5,47.838,1.691,28.29,1.43
2013,243,35,2,"leaf",97,42.059,1.198,35.109,1.24
2013,243,42,3,"leaf",125.5,53.212,1.663,32,1.325
2013,243,45,2,"leaf",123,51.389,1.681,30.563,1.367
2013,243,49,4,"leaf",158,67.545,3.111,21.712,1.969
2013,281,14,4,"leaf",88.5,37.01,0.58,63.39,0.66
2013,281,16,3,"leaf",98,39,0.55,71.48,0.56
2013,281,19,2,"leaf",101,39.59,0.6,65.95,0.59
2013,281,25,3,"leaf",98,41.07,0.63,65.18,0.64
2013,281,27,2,"leaf",92,36.34,0.57,63.3,0.62
2013,281,29,4,"leaf",107,43.36,0.89,48.67,0.83
2013,281,32,4,"leaf",115.5,47.23,0.86,55.08,0.74
2013,281,33,3,"leaf",91,37.15,0.56,65.86,0.62
2013,281,35,2,"leaf",92,37.79,0.68,55.8,0.74
2013,281,42,3,"leaf",88.5,34.23,0.59,58.1,0.67
2013,281,45,2,"leaf",80,30.73,0.47,65.02,0.59
2013,281,49,4,"leaf",108,44.41,1,44.27,0.93
2013,153,14,4,"stalk",NA,NA,NA,NA,NA
2013,153,16,3,"stalk",NA,NA,NA,NA,NA
2013,153,19,2,"stalk",NA,NA,NA,NA,NA
2013,153,25,3,"stalk",NA,NA,NA,NA,NA
2013,153,27,2,"stalk",NA,NA,NA,NA,NA
2013,153,29,4,"stalk",NA,NA,NA,NA,NA
2013,153,32,4,"stalk",NA,NA,NA,NA,NA
2013,153,33,3,"stalk",NA,NA,NA,NA,NA
2013,153,35,2,"stalk",NA,NA,NA,NA,NA
2013,153,42,3,"stalk",NA,NA,NA,NA,NA
2013,153,45,2,"stalk",NA,NA,NA,NA,NA
2013,153,49,4,"stalk",NA,NA,NA,NA,NA
2013,168,14,4,"stalk",NA,NA,NA,NA,NA
2013,168,16,3,"stalk",NA,NA,NA,NA,NA
2013,168,19,2,"stalk",NA,NA,NA,NA,NA
2013,168,25,3,"stalk",NA,NA,NA,NA,NA
2013,168,27,2,"stalk",NA,NA,NA,NA,NA
2013,168,29,4,"stalk",NA,NA,NA,NA,NA
2013,168,32,4,"stalk",NA,NA,NA,NA,NA
2013,168,33,3,"stalk",NA,NA,NA,NA,NA
2013,168,35,2,"stalk",NA,NA,NA,NA,NA
2013,168,42,3,"stalk",NA,NA,NA,NA,NA
2013,168,45,2,"stalk",NA,NA,NA,NA,NA
2013,168,49,4,"stalk",NA,NA,NA,NA,NA
2013,185,14,4,"stalk",46.54,18.588,0.539,34.491,1.16
2013,185,16,3,"stalk",41.69,16.864,0.486,34.691,1.17
2013,185,19,2,"stalk",31.5,12.427,0.862,14.414,2.74
2013,185,25,3,"stalk",62.96,25.033,0.881,28.4,1.4
2013,185,27,2,"stalk",27.73,11.003,0.79,13.928,2.85
2013,185,29,4,"stalk",68.23,28.725,0.993,28.935,1.46
2013,185,32,4,"stalk",51.66,20.865,0.908,22.988,1.76
2013,185,33,3,"stalk",49.9,20.07,0.548,36.63,1.1
2013,185,35,2,"stalk",23.34,9.401,0.746,12.603,3.2
2013,185,42,3,"stalk",55.94,23.07,0.637,36.239,1.14
2013,185,45,2,"stalk",25.41,10.38,0.679,15.294,2.67
2013,185,49,4,"stalk",65.38,26.525,0.919,28.855,1.41
2013,205,14,4,"stalk",290.86,126.066,0.964,130.821,0.33
2013,205,16,3,"stalk",212.97,94.026,0.745,126.287,0.35
2013,205,19,2,"stalk",182.02,78.687,0.928,84.815,0.51
2013,205,25,3,"stalk",281.28,125.592,1.423,88.241,0.51
2013,205,27,2,"stalk",193.8,86.881,0.75,115.87,0.39
2013,205,29,4,"stalk",286.78,128.736,1.477,87.131,0.52
2013,205,32,4,"stalk",265.39,118.284,1.234,95.829,0.47
2013,205,33,3,"stalk",209.73,88.611,0.844,104.995,0.4
2013,205,35,2,"stalk",175.35,78.153,1.245,62.757,0.71
2013,205,42,3,"stalk",270.24,118.554,1.228,96.545,0.45
2013,205,45,2,"stalk",189.19,82.354,1.739,47.346,0.92
2013,205,49,4,"stalk",245.58,108.435,1.48,73.265,0.6
2013,216,14,4,"stalk",331.5,145.463,1.103,131.822,0.33
2013,216,16,3,"stalk",291,128.855,0.948,135.903,0.33
2013,216,19,2,"stalk",235.5,104.119,0.582,178.916,0.25
2013,216,25,3,"stalk",336.5,149.826,1.991,75.25,0.59
2013,216,27,2,"stalk",274,121.231,2.295,52.828,0.84
2013,216,29,4,"stalk",314,139.256,2.098,66.362,0.67
2013,216,32,4,"stalk",316,139.69,1.065,131.156,0.34
2013,216,33,3,"stalk",279,122.397,0.807,151.636,0.29
2013,216,35,2,"stalk",286,127.273,1.412,90.122,0.49
2013,216,42,3,"stalk",285.5,125.547,1.043,120.41,0.37
2013,216,45,2,"stalk",255.5,113.341,1.091,103.92,0.43
2013,216,49,4,"stalk",281.5,129.94,1.288,100.896,0.46
2013,243,14,4,"stalk",230.5,102.964,0.712,144.704,0.31
2013,243,16,3,"stalk",207.5,89.495,0.487,183.688,0.23
2013,243,19,2,"stalk",228.5,101.431,0.749,135.335,0.33
2013,243,25,3,"stalk",239,108.673,0.758,143.303,0.32
2013,243,27,2,"stalk",224,99.717,0.657,151.865,0.29
2013,243,29,4,"stalk",211.5,96.634,0.935,103.394,0.44
2013,243,32,4,"stalk",237,107.195,0.69,155.269,0.29
2013,243,33,3,"stalk",222.5,97.722,0.791,123.475,0.36
2013,243,35,2,"stalk",189,84.181,0.465,181.204,0.25
2013,243,42,3,"stalk",251.5,112.119,0.721,155.548,0.2866
2013,243,45,2,"stalk",233.5,104.188,0.714,146.008,0.3056
2013,243,49,4,"stalk",260.5,117.381,1.08,108.657,0.4147
2013,281,14,4,"stalk",191,89.75,0.99,90.43,0.52
2013,281,16,3,"stalk",197.5,89.39,0.82,108.88,0.42
2013,281,19,2,"stalk",187,86.96,1.15,75.94,0.6123
2013,281,25,3,"stalk",227,104.08,1.44,72.22,0.63
2013,281,27,2,"stalk",192.5,89.13,1.06,84.04,0.55
2013,281,29,4,"stalk",262,118.24,1.53,77.07,0.5856
2013,281,32,4,"stalk",244.5,113.4,1.22,92.61,0.5
2013,281,33,3,"stalk",171.5,81.43,0.89,91.86,0.52
2013,281,35,2,"stalk",221,99.49,1.62,61.4,0.7332
2013,281,42,3,"stalk",211.5,97.35,1.02,95.74,0.48
2013,281,45,2,"stalk",164,75.83,0.68,111.05,0.42
2013,281,49,4,"stalk",275,125.18,1.52,82.33,0.5529
2013,153,14,4,"cobtassle",NA,NA,NA,NA,NA
2013,153,16,3,"cobtassle",NA,NA,NA,NA,NA
2013,153,19,2,"cobtassle",NA,NA,NA,NA,NA
2013,153,25,3,"cobtassle",NA,NA,NA,NA,NA
2013,153,27,2,"cobtassle",NA,NA,NA,NA,NA
2013,153,29,4,"cobtassle",NA,NA,NA,NA,NA
2013,153,32,4,"cobtassle",NA,NA,NA,NA,NA
2013,153,33,3,"cobtassle",NA,NA,NA,NA,NA
2013,153,35,2,"cobtassle",NA,NA,NA,NA,NA
2013,153,42,3,"cobtassle",NA,NA,NA,NA,NA
2013,153,45,2,"cobtassle",NA,NA,NA,NA,NA
2013,153,49,4,"cobtassle",NA,NA,NA,NA,NA
2013,168,14,4,"cobtassle",NA,NA,NA,NA,NA
2013,168,16,3,"cobtassle",NA,NA,NA,NA,NA
2013,168,19,2,"cobtassle",NA,NA,NA,NA,NA
2013,168,25,3,"cobtassle",NA,NA,NA,NA,NA
2013,168,27,2,"cobtassle",NA,NA,NA,NA,NA
2013,168,29,4,"cobtassle",NA,NA,NA,NA,NA
2013,168,32,4,"cobtassle",NA,NA,NA,NA,NA
2013,168,33,3,"cobtassle",NA,NA,NA,NA,NA
2013,168,35,2,"cobtassle",NA,NA,NA,NA,NA
2013,168,42,3,"cobtassle",NA,NA,NA,NA,NA
2013,168,45,2,"cobtassle",NA,NA,NA,NA,NA
2013,168,49,4,"cobtassle",NA,NA,NA,NA,NA
2013,185,14,4,"cobtassle",NA,NA,NA,NA,NA
2013,185,16,3,"cobtassle",NA,NA,NA,NA,NA
2013,185,19,2,"cobtassle",NA,NA,NA,NA,NA
2013,185,25,3,"cobtassle",NA,NA,NA,NA,NA
2013,185,27,2,"cobtassle",NA,NA,NA,NA,NA
2013,185,29,4,"cobtassle",NA,NA,NA,NA,NA
2013,185,32,4,"cobtassle",NA,NA,NA,NA,NA
2013,185,33,3,"cobtassle",NA,NA,NA,NA,NA
2013,185,35,2,"cobtassle",NA,NA,NA,NA,NA
2013,185,42,3,"cobtassle",NA,NA,NA,NA,NA
2013,185,45,2,"cobtassle",NA,NA,NA,NA,NA
2013,185,49,4,"cobtassle",NA,NA,NA,NA,NA
2013,205,14,4,"cobtassle",NA,24.202,1.003,24.127,1.8
2013,205,16,3,"cobtassle",NA,15.459,0.555,27.875,1.6
2013,205,19,2,"cobtassle",NA,10.47,0.552,18.962,2.41
2013,205,25,3,"cobtassle",NA,23.686,0.926,25.581,1.75
2013,205,27,2,"cobtassle",NA,9.506,0.483,19.689,2.38
2013,205,29,4,"cobtassle",NA,37.207,1.451,25.645,1.69
2013,205,32,4,"cobtassle",NA,22.622,0.852,26.541,1.64
2013,205,33,3,"cobtassle",NA,12.208,0.517,23.627,1.86
2013,205,35,2,"cobtassle",NA,7.773,0.345,22.501,1.96
2013,205,42,3,"cobtassle",NA,23.054,0.91,25.348,1.69
2013,205,45,2,"cobtassle",NA,7.788,0.386,20.184,2.27
2013,205,49,4,"cobtassle",NA,29.065,1.246,23.333,1.89
2013,216,14,4,"cobtassle",NA,85.959,2.887,29.776,1.5
2013,216,16,3,"cobtassle",NA,70.989,2.203,32.22,1.38
